21:14:43.620 [main] WARN  c.m.p.c.c.impl.ConfigServiceImpl - Type conversion failure
21:18:26.978 [main] WARN  c.m.p.c.c.impl.ConfigServiceImpl - Type conversion failure
22:45:57.021 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:46:01.828 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:46:02.538 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:46:03.219 [main] WARN  c.m.p.c.c.impl.ConfigServiceImpl - Type conversion failure
22:46:03.579 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:49:10.563 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:49:16.017 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:49:19.041 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:49:21.610 [main] WARN  c.m.p.c.c.impl.ConfigServiceImpl - Type conversion failure
22:49:22.714 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:50:32.914 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:50:37.776 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:50:38.593 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
22:50:39.263 [main] WARN  c.m.p.c.c.impl.ConfigServiceImpl - Type conversion failure
22:50:39.618 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.muzisheng.pear.test]' package. Please check your configuration.
